gvkey,fyear,Rank,Name,Country
222186,2021,295,ACS,ES
,2021,296,Toronto-Dominion Bank,CA
103292,2021,297,Maersk,DK
103176,2021,298,ThyssenKrupp,DE
101097,2021,299,Bouygues,FR
19043,2021,300,Mitsubishi Electric,JP
320827,2021,301,China Energy Engineering Group,CN
144496,2021,302,UBS Group,CH
202183,2021,303,Finatis,FR
12142,2021,304,Oracle,US
165649,2021,305,Energy Transfer,US
17830,2021,306,Daiwa House Industry,JP
,2021,307,China Aerospace Science & Technology,CN
279190,2021,308,Jiangsu Shagang Group,CN
,2021,309,Zhejiang Hengyi Group,CN
34443,2021,310,Dow,US
,2021,311,Shenghong Holding Group,CN
1447,2021,312,American Express,US
,2021,313,Meiji Yasuda Life Insurance,JP
19579,2021,314,J. Sainsbury,GB
,2021,315,Anhui Conch Group,CN
5046,2021,316,General Dynamics,US
15576,2021,317,Deutsche Bank,DE
279449,2021,318,Idemitsu Kosan,JP
100957,2021,319,Iberdrola,ES
,2021,320,China Aerospace Science & Industry,CN
7906,2021,321,Nike,US
30580,2021,322,Itaú Unibanco Holding,BR
,2021,323,ZF Friedrichshafen,DE
228418,2021,324,Quanta Computer,TW
10137,2021,325,Sumitomo Mitsui Financial Group,JP
7985,2021,326,Northrop Grumman,US
11217,2021,327,Volvo,SE
270738,2021,328,Suning.com Group,CN
324977,2021,329,Metro,DE
,2021,330,USAA,US
15933,2021,331,Sompo Holdings,JP
272278,2021,332,Yango Longking Group,CN
100966,2021,333,Chubb,CH
,2021,334,China Electronics,CN
,2021,335,Heraeus Holding,DE
252332,2021,336,Jinchuan Group,CN
15181,2021,337,Banco Bilbao Vizcaya Argentaria,ES
327599,2021,338,Xiaomi,CN
200935,2021,339,Compal Electronics,TW
,2021,340,Deere,US
,2021,341,La Poste,FR
267620,2021,342,DZ Bank,DE
,2021,343,Taikang Insurance Group,CN
239398,2021,344,China Taiping Insurance Group,CN
12673,2021,345,Barclays,GB
201066,2021,346,Cathay Financial Holding,TW
100012,2021,347,Mitsubishi Heavy Industries,JP
282327,2021,348,Rajesh Exports,IN
231822,2021,349,CRRC Group,CN
1078,2021,350,Abbott Laboratories,US
,2021,351,China South Industries Group,CN
236025,2021,352,China Huadian,CN
101088,2021,353,CK Hutchison Holdings,CN
,2021,354,China Electronics Technology Group,CN
233320,2021,355,Poste Italiane,IT
,2021,356,SNCF Group,FR
203890,2021,357,Tata Motors,IN
18467,2021,358,Fujitsu,JP
272591,2021,359,Cedar Holdings Group,CN
,2021,360,Northwestern Mutual,US
4016,2021,361,Dollar General,US
,2021,362,Louis Dreyfus,NL
251352,2021,363,Shanghai Construction Group,CN
295628,2021,364,Sunac China Holdings,CN
102240,2021,365,Aisin,JP
30501,2021,366,KB Financial Group,KR
101846,2021,367,Sumitomo Life Insurance,JP
302921,2021,368,British American Tobacco,GB
8539,2021,369,Exelon,US
3144,2021,370,Coca-Cola,US
319832,2021,371,China National Nuclear,CN
,2021,372,Magna International,CA
100424,2021,373,Jardine Matheson,CN
1300,2021,374,Honeywell International,US
,2021,375,Jingye Group,CN
,2021,376,Bank of Nova Scotia,CA
101642,2021,377,Phoenix Pharma,DE
28838,2021,378,Credit Suisse Group,CH
,2021,379,Sun Life Financial,CA
10530,2021,380,Thermo Fisher Scientific,US
15319,2021,381,Repsol,ES
7435,2021,382,3M,US
11672,2021,383,TJX,US
270683,2021,384,Shandong Iron & Steel Group,CN
62689,2021,385,Travelers,US
205162,2021,386,Migros Group,CH
100581,2021,387,LOréal,FR
249738,2021,388,Fubon Financial Holding,TW
30990,2021,389,Capital One Financial,US
348640,2021,390,New Hope Holding Group,CN
15617,2021,391,ING Group,NL
184996,2021,392,Tesla,US
,2021,393,CMA CGM,FR
223029,2021,394,Bharat Petroleum,IN
103487,2021,395,SAP,DE
258458,2021,396,Shenzhen Investment Holdings,CN
,2021,397,Coop Group,CH
203215,2021,398,Hyundai Mobis,KR
15508,2021,399,Anglo American,GB
252015,2021,400,Ansteel Group,CN
19045,2021,401,Mitsubishi Chemical Holdings,JP
340153,2021,402,Siemens Energy,DE
251371,2021,403,Shanxi Coking Coal Group,CN
253738,2021,404,JFE Holdings,JP
213378,2021,405,Haier Smart Home,CN
248136,2021,406,Mizuho Financial Group,JP
271039,2021,407,TongLing Nonferrous Metals Group,CN
200576,2021,408,Medipal Holdings,JP
100718,2021,409,Takeda Pharmaceutical,JP
210418,2021,410,ABB,CH
,2021,411,Shougang Group,CN
101155,2021,412,Suzuki Motor,JP
238616,2021,413,Veolia Environnement,FR
2721,2021,414,Canon,JP
310396,2021,415,New China Life Insurance,CN
294611,2021,416,Samsung Life Insurance,KR
100302,2021,417,Kansai Electric Power,JP
,2021,418,Enbridge,CA
,2021,419,Medtronic,IE
10622,2021,420,Toshiba,JP
258176,2021,421,Wistron,TW
179621,2021,422,Philip Morris International,US
1773,2021,423,Arrow Electronics,US
101336,2021,424,Schneider Electric,FR
260654,2021,425,Weichai Power,CN
30452,2021,426,Banco Bradesco,BR
288153,2021,427,Phoenix Group Holdings,GB
287744,2021,428,Hailiang Group,CN
,2021,429,CHS,US
,2021,430,China General Technology,CN
,2021,431,Beijing Jianlong Heavy Industry Group,CN
7652,2021,432,NEC,JP
278371,2021,433,Zhejiang Communications Investment Group,CN
100369,2021,434,Bridgestone,JP
345798,2021,435,China Datang,CN
2411,2021,436,BT Group,GB
260126,2021,437,Shanghai Pharmaceuticals Holding,CN
,2021,438,LyondellBasell Industries,NL
271755,2021,439,Guangxi Investment Group,CN
100450,2021,440,Chubu Electric Power,JP
15444,2021,441,CRH,IE
19413,2021,442,Sumitomo Electric Industries,JP
205343,2021,443,Financière de l'Odet,FR
,2021,444,Xinjiang Guanghui Industry Investment,CN
163896,2021,445,X5 Retail Group,NL
28195,2021,446,Jabil,US
100037,2021,447,Linde,GB
112876,2021,448,Enterprise Products Partners,US
100548,2021,449,Mazda Motor,JP
201171,2021,450,CJ Corp.,KR
282040,2021,451,China National Coal Group,CN
204049,2021,452,SK Hynix,KR
