gvkey,curcd,fyear,datadate,at,emp,revt,conm,naics,sic
206454,RUB,2020,2020-12-31,23352185.0000,477.6000,6321559.0000,GAZPROM PJSC,324110,2911
206454,RUB,2021,2021-12-31,27047230.0000,468.0000,10241353.0000,GAZPROM PJSC,324110,2911
206454,RUB,2022,2022-12-31,26128929.0000,,11673950.0000,GAZPROM PJSC,324110,2911
206454,RUB,2023,2023-12-31,28713748.0000,,8541818.0000,GAZPROM PJSC,324110,2911
206457,RUB,2015,2015-12-31,5020607.0000,,5749050.0000,PJSC LUKOIL,324110,2911
206457,RUB,2016,2016-12-31,5014673.0000,,5227045.0000,PJSC LUKOIL,324110,2911
206457,RUB,2017,2017-12-31,5226215.0000,,5936705.0000,PJSC LUKOIL,324110,2911
206457,RUB,2018,2018-12-31,5732382.0000,,8035889.0000,PJSC LUKOIL,324110,2911
206457,RUB,2019,2019-12-31,5947050.0000,101.3740,7841246.0000,PJSC LUKOIL,324110,2911
206457,RUB,2020,2020-12-31,5991579.0000,,5507098.0000,PJSC LUKOIL,324110,2911
206457,RUB,2021,2021-12-31,6864749.0000,,9268485.0000,PJSC LUKOIL,324110,2911
208175,INR,2014,2015-03-31,3376826.7800,,1608897.4900,OIL & NATURAL GAS CORP LTD,2111,1311
208175,INR,2015,2016-03-31,3562112.4700,,1314978.6900,OIL & NATURAL GAS CORP LTD,2111,1311
208175,INR,2016,2017-03-31,3702056.2400,36.8250,1257846.0800,OIL & NATURAL GAS CORP LTD,2111,1311
208175,INR,2017,2018-03-31,4602349.0500,35.6820,3227055.1700,OIL & NATURAL GAS CORP LTD,2111,1311
208175,INR,2018,2019-03-31,4957020.5000,34.4880,4213852.8700,OIL & NATURAL GAS CORP LTD,2111,1311
208175,INR,2019,2020-03-31,5038980.7000,30.1050,3968029.1100,OIL & NATURAL GAS CORP LTD,2111,1311
208175,INR,2020,2021-03-31,5432646.1300,28.4790,3040009.8300,OIL & NATURAL GAS CORP LTD,2111,1311
208175,,,2021-12-31,,,,OIL & NATURAL GAS CORP LTD,2111,1311
208175,INR,2021,2022-03-31,5854493.2100,27.1650,4912698.0000,OIL & NATURAL GAS CORP LTD,2111,1311
208175,,,2022-12-31,,,,OIL & NATURAL GAS CORP LTD,2111,1311
208175,INR,2022,2023-03-31,6145287.2600,25.9930,6323259.6800,OIL & NATURAL GAS CORP LTD,2111,1311
208175,INR,2023,2024-03-31,7101929.7000,,6430370.1000,OIL & NATURAL GAS CORP LTD,2111,1311
209382,BRL,2015,2015-12-31,345547.0000,,85499.0000,VALE SA,212210,1000
209382,BRL,2016,2016-12-31,322696.0000,,94633.0000,VALE SA,212210,1000
209382,BRL,2017,2017-12-31,328097.0000,,108532.0000,VALE SA,212210,1000
209382,BRL,2018,2018-12-31,341713.0000,,134483.0000,VALE SA,212210,1000
209382,BRL,2019,2019-12-31,369671.0000,,148640.0000,VALE SA,212210,1000
209382,BRL,2020,2020-12-31,478130.0000,74.3160,208529.0000,VALE SA,212210,1000
209382,BRL,2021,2021-12-31,499128.0000,,293524.0000,VALE SA,212210,1000
209382,BRL,2022,2022-12-31,453387.0000,,226508.0000,VALE SA,212210,1000
209382,BRL,2023,2023-12-31,455984.0000,,208066.0000,VALE SA,212210,1000
212777,INR,2014,2015-03-31,2337433.4000,32.9620,4495086.6000,INDIAN OIL CORP LTD,324110,2911
212777,INR,2015,2016-03-31,2420242.7000,32.8030,3559266.2000,INDIAN OIL CORP LTD,324110,2911
212777,INR,2016,2017-03-31,2735610.4000,33.1350,3553101.1000,INDIAN OIL CORP LTD,324110,2911
212777,INR,2017,2018-03-31,2956722.9000,33.1570,4214918.2000,INDIAN OIL CORP LTD,324110,2911
212777,INR,2018,2019-03-31,3351551.1000,33.4980,5398781.1000,INDIAN OIL CORP LTD,324110,2911
212777,INR,2019,2020-03-31,3297368.3000,32.9980,4881600.4000,INDIAN OIL CORP LTD,324110,2911
212777,INR,2020,2021-03-31,3549159.2000,31.6480,3708062.5000,INDIAN OIL CORP LTD,324110,2911
212777,INR,2021,2022-03-31,4106248.5000,31.2540,5893357.4000,INDIAN OIL CORP LTD,324110,2911
212777,INR,2022,2023-03-31,4417620.9000,31.0950,8417559.1000,INDIAN OIL CORP LTD,324110,2911
212777,INR,2023,2024-03-31,4823620.0000,30.3210,7763518.5000,INDIAN OIL CORP LTD,324110,2911
220546,NOK,2015,2015-12-31,966700.0000,21.5810,465300.0000,EQUINOR ASA,324110,2911
220546,USD,2016,2016-12-31,104530.0000,20.5390,45688.0000,EQUINOR ASA,324110,2911
220546,USD,2017,2017-12-31,111100.0000,20.2450,60971.0000,EQUINOR ASA,324110,2911
