gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,conm,curcd,at,emp,revt,costat,naics
002184,2019-01-31,2018,INDL,C,D,STD,BEST BUY CO INC,USD,12901.0000,125.0000,42879.0000,A,449210
002184,2020-01-31,2019,INDL,C,D,STD,BEST BUY CO INC,USD,15591.0000,125.0000,43638.0000,A,449210
002184,2021-01-31,2020,INDL,C,D,STD,BEST BUY CO INC,USD,19067.0000,102.0000,47262.0000,A,449210
002184,2022-01-31,2021,INDL,C,D,STD,BEST BUY CO INC,USD,17504.0000,105.0000,51761.0000,A,449210
002184,2023-01-31,2022,INDL,C,D,STD,BEST BUY CO INC,USD,15803.0000,90.0000,46298.0000,A,449210
002184,2024-01-31,2023,INDL,C,D,STD,BEST BUY CO INC,USD,14967.0000,85.0000,43452.0000,A,449210
002285,2015-12-31,2015,INDL,C,D,STD,BOEING CO,USD,94408.0000,161.4000,96114.0000,A,336411
002285,2016-12-31,2016,INDL,C,D,STD,BOEING CO,USD,89997.0000,150.5000,94571.0000,A,336411
002285,2017-12-31,2017,INDL,C,D,STD,BOEING CO,USD,92333.0000,140.8000,93392.0000,A,336411
002285,2018-12-31,2018,INDL,C,D,STD,BOEING CO,USD,117359.0000,153.0000,101127.0000,A,336411
002285,2019-12-31,2019,INDL,C,D,STD,BOEING CO,USD,133625.0000,161.1000,84818.0000,A,336411
002285,2020-12-31,2020,INDL,C,D,STD,BOEING CO,USD,152136.0000,141.0000,58656.0000,A,336411
002285,2021-12-31,2021,INDL,C,D,STD,BOEING CO,USD,138552.0000,142.0000,62272.0000,A,336411
002285,2022-12-31,2022,INDL,C,D,STD,BOEING CO,USD,137100.0000,156.0000,66608.0000,A,336411
002285,2023-12-31,2023,INDL,C,D,STD,BOEING CO,USD,137012.0000,171.0000,77794.0000,A,336411
002403,2015-12-31,2015,INDL,C,D,STD,BRISTOL-MYERS SQUIBB CO,USD,31748.0000,25.0000,16560.0000,A,325412
002403,2016-12-31,2016,INDL,C,D,STD,BRISTOL-MYERS SQUIBB CO,USD,33707.0000,25.0000,19427.0000,A,325412
002403,2017-12-31,2017,INDL,C,D,STD,BRISTOL-MYERS SQUIBB CO,USD,33551.0000,23.7000,20776.0000,A,325412
002403,2018-12-31,2018,INDL,C,D,STD,BRISTOL-MYERS SQUIBB CO,USD,34986.0000,23.3000,22561.0000,A,325412
002403,2019-12-31,2019,INDL,C,D,STD,BRISTOL-MYERS SQUIBB CO,USD,129944.0000,30.0000,26145.0000,A,325412
002403,2020-12-31,2020,INDL,C,D,STD,BRISTOL-MYERS SQUIBB CO,USD,118481.0000,30.2500,42518.0000,A,325412
002403,2021-12-31,2021,INDL,C,D,STD,BRISTOL-MYERS SQUIBB CO,USD,109314.0000,32.2000,46385.0000,A,325412
002403,2022-12-31,2022,INDL,C,D,STD,BRISTOL-MYERS SQUIBB CO,USD,96820.0000,34.3000,46159.0000,A,325412
002403,2023-12-31,2023,INDL,C,D,STD,BRISTOL-MYERS SQUIBB CO,USD,95159.0000,34.1000,45006.0000,A,325412
002410,2015-12-31,2015,INDL,C,D,STD,BP PLC,USD,261832.0000,79.8000,222894.0000,A,324110
002410,2016-12-31,2016,INDL,C,D,STD,BP PLC,USD,263316.0000,74.5000,183008.0000,A,324110
002410,2017-12-31,2017,INDL,C,D,STD,BP PLC,USD,276515.0000,74.0000,240208.0000,A,324110
